authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,textOriginal,parentId,canRate,viewerRating,likeCount,moderationStatus,publishedAt,updatedAt
Kapibara,https://yt3.ggpht.com/n4g9Q_UXPXJs8x9z2n8focX72KPhSP-xjo3ogRD8jicywkvQEzGepFi8F2R_HhYCYfHFqCzpW-Y=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC5zo0g_zZaTDAk9VH3lHRlA,{'value': 'UC5zo0g_zZaTDAk9VH3lHRlA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,&quot;dick&quot;,"""dick""",,True,none,0,,2023-10-05T17:21:15Z,2023-10-05T17:21:15Z
Roma Aggarwal,https://yt3.ggpht.com/ytc/APkrFKZX2MYbThuXfNnkVPMAALuTNMX8qOCWl7kWOw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC2uzCb5SdBUZi7GPCBt8p4A,{'value': 'UC2uzCb5SdBUZi7GPCBt8p4A'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,My answers:<br>truck<br>toffee<br>cookie<br>sweater<br>brinjal,"My answers:
truck
toffee
cookie
sweater
brinjal",,True,none,1,,2023-10-05T17:15:13Z,2023-10-05T17:15:13Z
Kkk,https://yt3.ggpht.com/ytc/APkrFKZYCV4xxXN0F6RAqwf8QLlABG_PzauDMJQdR7Px4LY73dxoZjKVWQoBdy2wiXQA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCiBRf-D0hPUKEJhl3dE3KIQ,{'value': 'UCiBRf-D0hPUKEJhl3dE3KIQ'},UCAQg09FkoobmLquNNoO4ulg,qHQzxGgybEc,thanks,thanks,,True,none,0,,2023-10-05T17:09:01Z,2023-10-05T17:09:01Z
Hiruni Rathnayake,https://yt3.ggpht.com/ytc/APkrFKbEjETZTma5JlU0pOYRBBoXBo66Y1k0hecIQVrJS8oY13MwER9EsukvSVUYDUqv=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCM-f1l5ZuB0l4nYhicgv6Mg,{'value': 'UCM-f1l5ZuB0l4nYhicgv6Mg'},UCAQg09FkoobmLquNNoO4ulg,Xf0_eAAufQs,❤✨️,❤✨️,,True,none,0,,2023-10-05T17:08:44Z,2023-10-05T17:08:44Z
Goldleafyt,https://yt3.ggpht.com/qBmtoVs3HPeOsFDRIuhPYIDjvSSK2JRXvkxepNGdmNTvLMJD7pwfRQ2FOpcYRdEYz7aLfiCz5g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC6fn2_BfPOHsPSev00Z2wtg,{'value': 'UC6fn2_BfPOHsPSev00Z2wtg'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,WAIT I THOUGHT THAT WAS A DI-,WAIT I THOUGHT THAT WAS A DI-,,True,none,0,,2023-10-05T16:59:19Z,2023-10-05T16:59:19Z
Tobi,https://yt3.ggpht.com/ytc/APkrFKbb-TwBPhZ0IjHb2FWQPSW-EHor3B3FKQ4e82giQik9GV5y6M2roFmDt2lr0k_Y=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCX3EdqyE2C713KHUBafRX6A,{'value': 'UCX3EdqyE2C713KHUBafRX6A'},UCAQg09FkoobmLquNNoO4ulg,_F5DufM-J4k,Task 3 is 60s long. With your suggestions<br>Article (10-13s)<br>Professor (37s)<br>Conclusion (3s)<br>you only spend 50-53s. What about the rest of the time?,"Task 3 is 60s long. With your suggestions
Article (10-13s)
Professor (37s)
Conclusion (3s)
you only spend 50-53s. What about the rest of the time?",,True,none,0,,2023-10-05T16:51:21Z,2023-10-05T16:51:21Z
همسات المطر,https://yt3.ggpht.com/0_QC-F8-RJJVIcDEeD5sEP_yl5X3I1ipjLzbgS1y5lgwnSnOVKmo7ai4AzE4jINi-fZIFBKCqA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCMH1jJ5odc2pIgqluqGwVPg,{'value': 'UCMH1jJ5odc2pIgqluqGwVPg'},UCAQg09FkoobmLquNNoO4ulg,NYWFNp-qa5E,Hello from Algeria<br>I&#39;m always watching your videos and it helps me a lot thank you so much ❤,"Hello from Algeria
I'm always watching your videos and it helps me a lot thank you so much ❤",,True,none,0,,2023-10-05T16:49:23Z,2023-10-05T16:49:23Z
Popy Ranjan,https://yt3.ggpht.com/ytc/APkrFKZ4m1IoYFWhg1GuvkuP4fZna23FzGeIgb49YAcnXY-3HulEYKBfrqZD0wLl2cz5=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCk146EICtQpMcXOCExwj8Hw,{'value': 'UCk146EICtQpMcXOCExwj8Hw'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,Baigan😂,Baigan😂,,True,none,0,,2023-10-05T16:38:05Z,2023-10-05T16:38:05Z
BlueberriBoyYT,https://yt3.ggpht.com/4Sn543C5sV4j8zqguNeVPFdFX104z_Vaq14SEwu2JM_ET_A0sC1Xcc-8gRxvRJdtxgA6dFig=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCxVzVPZ90GA7MWJyOpFW2Bg,{'value': 'UCxVzVPZ90GA7MWJyOpFW2Bg'},UCAQg09FkoobmLquNNoO4ulg,XcS7ih3bZzo,I’m American 🇺🇸 🎉,I’m American 🇺🇸 🎉,,True,none,0,,2023-10-05T16:35:54Z,2023-10-05T16:35:54Z
Live&Love,https://yt3.ggpht.com/ytc/APkrFKauJ-JW2WaHCZV3iu048Uce67R2bksfhALAtplU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSdFue8hOcSKpCqyCC003gA,{'value': 'UCSdFue8hOcSKpCqyCC003gA'},UCAQg09FkoobmLquNNoO4ulg,ct_9X-gwKMs,So Americans speak English and British make up BS words got it.,So Americans speak English and British make up BS words got it.,,True,none,0,,2023-10-05T16:17:43Z,2023-10-05T16:17:43Z
